10um bubble,,duplicate,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
405.4875793,0.2832937837,405.4875793,0.2828463614,
404.9846802,0.283931762,404.9846802,0.2843856812,
404.481781,0.2835694253,404.481781,0.283549577,
404.0175476,0.2837373316,404.0175476,0.2837312222,
403.5145569,0.2828027904,403.5145569,0.2824614644,
403.0114746,0.28287521,403.0114746,0.2824295163,
402.5084229,0.2830618918,402.5084229,0.2818915248,
402.0053101,0.2824363112,402.0053101,0.2813143134,
401.5021362,0.2822006643,401.5021362,0.2823131084,
400.9989319,0.2823610306,400.9989319,0.2828429043,
400.4956665,0.2828167677,400.4956665,0.2820365429,
399.9924316,0.2837156057,399.9924316,0.2834555507,
399.4890747,0.2838014364,399.4890747,0.282715261,
398.9857178,0.2835638523,398.9857178,0.2832638621,
398.4822998,0.2834255695,398.4822998,0.2830778062,
398.0175781,0.2838430703,398.0175781,0.2836532295,
397.5140991,0.2841829956,397.5140991,0.2820308506,
397.0105896,0.2836428881,397.0105896,0.2827861607,
396.507019,0.2842800617,396.507019,0.2828835249,
396.003418,0.2838184834,396.003418,0.2832965255,
395.4997559,0.2845650911,395.4997559,0.2834697664,
394.9960632,0.2858418822,394.9960632,0.2855060101,
394.4923706,0.2856732905,394.4923706,0.2849536538,
393.9885864,0.2859077752,393.9885864,0.2847524881,
393.4848022,0.2850292623,393.4848022,0.28334409,
392.9809265,0.2840854526,392.9809265,0.28342098,
392.5158386,0.2854312658,392.5158386,0.2856804729,
392.0119019,0.287784785,392.0119019,0.2881413102,
391.5079651,0.2890903056,391.5079651,0.2877056897,
391.0039673,0.2885015011,391.0039673,0.2866683006,
390.4999084,0.2873987257,390.4999084,0.2866499722,
389.9958191,0.2876200378,389.9958191,0.2870980203,
389.4916992,0.2881621718,389.4916992,0.2872970998,
388.9875488,0.287830621,388.9875488,0.2870423496,
388.4833374,0.2883446515,388.4833374,0.2877109647,
388.0178833,0.28988415,388.0178833,0.2892121673,
387.5135803,0.2887871563,387.5135803,0.2894639969,
387.0092773,0.2904575467,387.0092773,0.2903734744,
386.5049438,0.290029794,386.5049438,0.2907982767,
386.0005493,0.2913214564,386.0005493,0.2913030684,
385.4960938,0.2906222343,385.4960938,0.2905924618,
384.9916382,0.2922077179,384.9916382,0.2915967405,
384.4871216,0.2945005596,384.4871216,0.2924478054,
383.9825439,0.2947669625,383.9825439,0.2946901619,
383.5168152,0.2949478924,383.5168152,0.295021385,
383.0121765,0.2946428657,383.0121765,0.2939220071,
382.5074768,0.295339942,382.5074768,0.2947739661,
382.0028076,0.2953081131,382.0028076,0.2944317162,
381.4980469,0.2959355116,381.4980469,0.2953062356,
380.9932556,0.2970434129,380.9932556,0.2955011129,
380.4884644,0.2983912528,380.4884644,0.2973068655,
379.9835815,0.298214972,379.9835815,0.2977794707,
379.5175171,0.2991916537,379.5175171,0.2982449234,
379.0125732,0.2987813056,379.0125732,0.2991456985,
378.5076294,0.3002414107,378.5076294,0.3018916845,
378.002594,0.3040155768,378.002594,0.3043085933,
377.4975281,0.3047583103,377.4975281,0.3046221137,
376.9924622,0.303952843,376.9924622,0.3042668998,
376.4873352,0.304417491,376.4873352,0.3047537804,
375.9821777,0.3052585721,375.9821777,0.3039669693,
375.5158081,0.3049712479,375.5158081,0.3045850992,
375.0105896,0.3057047725,375.0105896,0.3042546511,
374.5053101,0.3064715564,374.5053101,0.3050441742,
374,0.3050170839,374,0.3055755496,
373.4946289,0.3055811524,373.4946289,0.3048977256,
372.9892578,0.3054341674,372.9892578,0.305713594,
372.4838257,0.3065886497,372.4838257,0.3062916696,
372.0172119,0.3080896437,372.0172119,0.3076209724,
371.5117188,0.3098308146,371.5117188,0.3091451526,
371.0061646,0.3102992773,371.0061646,0.309004873,
370.5006104,0.3105150759,370.5006104,0.3101638556,
369.9949951,0.3120341301,369.9949951,0.3098659217,
369.4893494,0.3119011223,369.4893494,0.311041981,
368.9836426,0.3130116761,368.9836426,0.3125023842,
368.5168457,0.3125166893,368.5168457,0.3126155734,
368.0110474,0.3149037063,368.0110474,0.3142924011,
367.5052795,0.3163070083,367.5052795,0.3150239885,
366.9994507,0.3165533543,366.9994507,0.3155640066,
366.4935608,0.3164646626,366.4935608,0.3156710267,
365.9876099,0.3167397976,365.9876099,0.3160475791,
365.4816895,0.3168430626,365.4816895,0.3174071014,
365.0146179,0.3184236586,365.0146179,0.3181523979,
364.5085754,0.3204591572,364.5085754,0.3193134964,
364.002533,0.3198180497,364.002533,0.3196863234,
363.4964294,0.3201308846,363.4964294,0.3202362061,
362.9902954,0.323374778,362.9902954,0.3231459856,
362.4841309,0.3273552358,362.4841309,0.3270668685,
362.0168457,0.3295054138,362.0168457,0.3283652365,
361.5106506,0.3275791705,361.5106506,0.3266633153,
361.004364,0.3286375105,361.004364,0.3268154263,
360.4980164,0.3300418556,360.4980164,0.3288717866,
359.9916687,0.3302577734,359.9916687,0.3299057186,
359.4852905,0.3279694021,359.4852905,0.3284550309,
359.0178223,0.3301124275,359.0178223,0.3299842775,
358.5113525,0.3339374661,358.5113525,0.3331292272,
358.0048523,0.3371578753,358.0048523,0.3369396329,
357.4983215,0.3352731466,357.4983215,0.3369835317,
356.9917603,0.3355614841,356.9917603,0.336517185,
356.4851685,0.3386358619,356.4851685,0.3387615383,
356.0174866,0.3407350779,356.0174866,0.3398388624,
355.5108032,0.3427484632,355.5108032,0.3402140439,
