1mm full,,1mm full2,,discard,,1mm vapor,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
488.0106506,0.03902756423,488.0106506,0.0390316695,488.0106506,0.03893488273,488.0106506,0.1028753445,
487.5152893,0.03913337737,487.5152893,0.03915111348,487.5152893,0.03911202028,487.5152893,0.1027231216,
486.98172,0.03916442767,486.98172,0.03907205537,486.98172,0.0391141437,486.98172,0.1030212492,
486.4863586,0.03909346834,486.4863586,0.03893074766,486.4863586,0.03886316717,486.4863586,0.1027433872,
485.9907837,0.03866935149,485.9907837,0.03863734752,485.9907837,0.0386242494,485.9907837,0.1027536541,
485.4952393,0.03863955662,485.4952393,0.038418971,485.4952393,0.03835754842,485.4952393,0.1027442738,
484.9996338,0.03852989897,484.9996338,0.03833611682,484.9996338,0.03831185773,484.9996338,0.1027858928,
484.5039978,0.03885108232,484.5039978,0.03861287236,484.5039978,0.03853040934,484.5039978,0.1027865484,
484.0082397,0.03914096951,484.0082397,0.03897574171,484.0082397,0.03903619945,484.0082397,0.1028676033,
483.5125122,0.03935804218,483.5125122,0.03921955824,483.5125122,0.03924607858,483.5125122,0.1028034389,
483.0166931,0.03939800337,483.0166931,0.03931541741,483.0166931,0.03932000697,483.0166931,0.103196159,
482.4826965,0.0393463634,482.4826965,0.03926687688,482.4826965,0.03915108368,482.4826965,0.1031111106,
481.9868469,0.03930184245,481.9868469,0.03909471631,481.9868469,0.03904900327,481.9868469,0.1028456241,
481.4908752,0.03920873627,481.4908752,0.0391543135,481.4908752,0.03918799758,481.4908752,0.1029568389,
480.994812,0.03957036883,480.994812,0.03933202475,480.994812,0.03928600252,480.994812,0.1031634957,
480.4988403,0.03952786699,480.4988403,0.03928155452,480.4988403,0.03934083879,480.4988403,0.1035419255,
480.0026855,0.03957810998,480.0026855,0.03952281922,480.0026855,0.03942456469,480.0026855,0.103551425,
479.5065308,0.03974056244,479.5065308,0.03965856507,479.5065308,0.03948584944,479.5065308,0.103957057,
479.0103149,0.03983205557,479.0103149,0.03968522325,479.0103149,0.03977684677,479.0103149,0.1039142683,
478.5141296,0.04000777379,478.5141296,0.03997924924,478.5141296,0.03993781283,478.5141296,0.1040674672,
478.0177612,0.0401936695,478.0177612,0.04015604779,478.0177612,0.04015615955,478.0177612,0.1043835431,
477.4831848,0.04048303887,477.4831848,0.04035266116,477.4831848,0.04030610621,477.4831848,0.1048624143,
476.986908,0.04074800387,476.986908,0.04056087136,476.986908,0.04062033072,476.986908,0.1048703268,
476.490387,0.04088424519,476.490387,0.04078664258,476.490387,0.04084155336,476.490387,0.1049993336,
475.9939575,0.04114868492,475.9939575,0.04108255357,475.9939575,0.04095973447,475.9939575,0.1053157896,
475.497345,0.04131773487,475.497345,0.04122439027,475.497345,0.04134774208,475.497345,0.105554834,
475.0007629,0.0415828377,475.0007629,0.04152700678,475.0007629,0.04137880355,475.0007629,0.1059127599,
474.5041199,0.04199284688,474.5041199,0.04175912216,474.5041199,0.04171845689,474.5041199,0.1064037383,
474.0074768,0.04210221022,474.0074768,0.04207788408,474.0074768,0.041969724,474.0074768,0.1064084321,
473.5106812,0.04235635325,473.5106812,0.04225545377,473.5106812,0.0421669893,473.5106812,0.1067919508,
473.0139465,0.04270311072,473.0139465,0.04255245253,473.0139465,0.0425530225,473.0139465,0.1071163788,
472.5170593,0.04283308238,472.5170593,0.04275343567,472.5170593,0.04278380051,472.5170593,0.1072263718,
471.9819641,0.0431377925,471.9819641,0.04309142381,471.9819641,0.04292165488,471.9819641,0.1074598357,
471.4850769,0.04330552742,471.4850769,0.04337980971,471.4850769,0.04334385321,471.4850769,0.1078285947,
470.9880981,0.04365565255,470.9880981,0.04350548983,470.9880981,0.04353118688,470.9880981,0.1080251336,
