s1,,s1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
696.9870605,0.03009892255,696.9870605,0.02971328981,
696.0123291,0.03059834428,696.0123291,0.03008041717,
695.0012207,0.03098395839,695.0012207,0.03015063889,
693.989624,0.03149043769,693.989624,0.03069812618,
693.0139771,0.03193621337,693.0139771,0.03173022717,
692.0018311,0.03282815963,692.0018311,0.03267215192,
690.9893799,0.03310156614,690.9893799,0.03381953388,
690.0126343,0.03391423449,690.0126343,0.03402385116,
688.9996338,0.03492548689,688.9996338,0.03492068872,
687.986145,0.03555313498,687.986145,0.03593504801,
687.0085449,0.03592649847,687.0085449,0.03618560359,
685.9944458,0.03642785922,685.9944458,0.0364583768,
685.0162964,0.03615389764,685.0162964,0.03585137427,
684.0016479,0.0357580483,684.0016479,0.03579582646,
682.9865723,0.03560946882,682.9865723,0.03596375883,
